시군구명,시설명,시설주소,시설종류명(시설유형),정원(수용인원),현인원,X,Y
송파구,송파구방이복지관,서울특별시 송파구 백제고분로37길 4 (석촌동)(석촌동),(장애인) 장애인복지관,160.0,160.0,208651.96906081217,545105.8098333739
송파구,서울시각장애인복지관,서울특별시 송파구 삼학사로19길 27　,(장애인) 장애인복지관,0.0,0.0,208317.74240979837,545187.4109392836
동작구,서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길 33-0395(보라매공원내),(장애인) 장애인복지관,752.0,752.0,192899.81259540585,543756.2357893371
강남구,청음복지관,서울특별시 강남구 봉은사로50길 6　,(장애인) 장애인복지관,,345.0,203745.06404180807,545548.855806653
마포구,마포장애인종합복지관,서울특별시 마포구 성산로4길 353층(마포장애인종합복지관)(성산동),(장애인) 장애인복지관,,3743.0,191966.14165143383,551578.632818147
노원구,다운복지관,서울특별시 노원구 화랑로478,(장애인) 장애인복지관,,414.0,207088.52492535577,557709.9623762729
중랑구,원광장애인종합복지관,서울특별시 중랑구 신내로 56-0(신내동),(장애인) 장애인복지관,500.0,645.0,208478.48182106798,556073.310077563
구로구,성프란치스꼬장애인종합복지관,서울특별시 구로구 남부순환로105라길 25-10,(장애인) 장애인복지관,452.0,700.0,190316.88151611897,542464.1983665512
강남구,성모자애복지관,서울특별시 강남구 헌릉로757길 35　,(장애인) 장애인복지관,300.0,300.0,210568.9483171037,541186.0524238386
노원구,대린원,서울특별시 노원구 동일로248길 30(상계1동),(장애인) 장애유형별거주시설,54.0,31.0,205015.56204986497,564547.0587318793
노원구,동천의집,서울특별시 노원구 노원로 18길 41 (하계동 288-1)(하계1동),(장애인) 장애유형별거주시설,70.0,64.0,206471.52777337804,560533.6658801083
양천구,누림홈,경기도 김포시 대곶면 율생중앙로 83 ,(장애인) 장애유형별거주시설,70.0,58.0,162976.5894435133,561784.4489130047
동작구,삼성농아원,서울특별시 동작구 양녕로30길 19-4(동작구),(장애인) 장애유형별거주시설,62.0,28.0,195218.82413478597,544407.7949282553
서초구,다니엘복지원,서울특별시 서초구 헌릉로468길 21-16  ,(장애인) 장애유형별거주시설,80.0,70.0,208142.37070066461,540115.6482698756
노원구,늘편한집,서울특별시 노원구 중계로 163(중계본동),(장애인) 중증장애인거주시설,45.0,39.0,207117.6880689067,561137.4152863285
송파구,임마누엘집,서울특별시 송파구 양산로10길 26,(장애인) 장애유형별거주시설,55.0,51.0,212971.7148107412,543567.1777736834
송파구,임마누엘보호작업시설,서울특별시 송파구 양산로10길 26,(장애인) 장애인보호작업장,40.0,40.0,212971.7148107412,543567.1777736834
강동구,아름해든집,"서울특별시 강동구 고덕로 295-45(고덕동,나동)",(장애인) 중증장애인거주시설,39.0,35.0,214026.12202356063,550916.8098483314
송파구,신아재활원,서울특별시 송파구 양산로8길 17,(장애인) 장애유형별거주시설,134.0,125.0,212876.43737443085,543570.7701313504
강동구,우성원,서울특별시 강동구 고덕로 295-45(고덕2동),(장애인) 장애유형별거주시설,86.0,74.0,214026.12202356063,550916.8098483314
양천구,해맑은마음터,경기도 김포시 대곶면 율생중앙로 89 ,(장애인) 중증장애인거주시설,77.0,69.0,162965.77763872387,561825.4536849429
용산구,영락애니아의집,서울특별시 용산구 후암로4길 70(후암동),(장애인) 중증장애인거주시설,30.0,30.0,198345.79987620626,549886.8819411768
은평구,사랑의집,서울특별시 은평구 역말로10길 30-1오병이어복지관 1층,(장애인) 장애인주간보호시설,10.0,16.0,193273.20290316927,556629.8571936077
강동구,암사재활원,서울특별시 강동구 올림픽로 864(암사3동),(장애인) 중증장애인거주시설,50.0,48.0,211594.44430682505,550964.235874441
종로구,문혜장애인요양원,강원도 철원군 갈말읍 텃골1길 13문혜장애인요양원 ,(장애인) 중증장애인거주시설,200.0,146.0,232101.48753009844,621002.4870445477
마포구,참 좋은집,충청북도 충주시 산척면 지속골길 71 ,(장애인) 중증장애인거주시설,30.0,30.0,286329.7017723697,496536.340386667
은평구,은평재활원,서울특별시 은평구 갈현로11길 30,(장애인) 장애유형별거주시설,50.0,50.0,191771.78005402477,556237.133218867
강남구,오틸리아 공동생활가정,서울특별시 강남구 학동로26길 15401호 (논현동),(장애인) 장애인공동생활가정,4.0,4.0,202584.68679314863,545692.9974666025
송파구,생수의집,경기 포천시 군내면청군로 2813-18(직두리 155-5),(장애인) 중증장애인거주시설,56.0,41.0,221836.0893470625,585214.2182485916
관악구,에스알씨(SRC)보듬터,경기도 광주시 경수길 25-0SRC보듬터,(장애인) 장애유형별거주시설,55.0,54.0,225401.7769878727,535656.6494235635
서초구,새빛바울의집,서울특별시 서초구 방배중앙로 99 (방배동)(방배동),(장애인) 장애유형별거주시설,33.0,24.0,198964.75507461204,543191.8007492564
은평구,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4302호 (불광동),(장애인) 장애인공동생활가정,4.0,4.0,193585.76921112207,556670.9973198352
종로구,은혜장애인요양원,강원 철원군 갈말읍 텃골1길 19호,(장애인) 중증장애인거주시설,228.0,160.0,232242.71273672694,621300.3221242815
중랑구,동천하우스5,서울특별시 중랑구 동일로104길 3-3301호,(장애인) 장애인공동생활가정,4.0,4.0,207104.48715785478,554504.7213623512
강서구,교남소망의집,서울특별시 강서구 까치산로22길 38-0,(장애인) 장애유형별거주시설,58.0,57.0,186965.35398690053,549855.9878650167
노원구,베데스다의 집,"서울특별시 노원구 중계로8길 39-0211동110호(중계동,현대그린아파트)",(장애인) 장애인공동생활가정,4.0,4.0,207455.0312791864,560819.0267741141
노원구,베데스다장애인주간보호센터,서울특별시 노원구 공릉로58마길 27나눔아트센터 2층 (하계동),(장애인) 장애인주간보호시설,15.0,17.0,206853.84844557883,559648.3971514218
중랑구,아름다운,서울특별시 중랑구 망우로55길 32한국프라우드아파트 103호,(장애인) 장애인보호작업장,30.0,31.0,208291.65397685827,555487.7868198894
서초구,신망애의집,서울특별시 서초구 남부순환로342길 56-58  ,(장애인) 장애인단기거주시설,17.0,10.0,202154.2302436759,542177.452007397
마포구,마리스타보호작업장,충청북도 충주시 지속골길 71,(장애인) 장애인보호작업장,30.0,32.0,286329.7017723697,496536.340386667
강북구,강북구립장애인보호작업장,서울특별시 강북구 오현로 199-9 (번동),(장애인) 장애인보호작업장,32.0,30.0,203486.495136431,558866.8040982429
영등포구,한사랑장애영아원,경기도 광주시 초월읍 산수로554번길 59-14 ,(장애인) 장애영유아거주시설,65.0,50.0,227811.4613364102,534729.2533048503
용산구,용산구립장애인보호작업장,서울특별시 용산구 한강대로 3311~2층,(장애인) 장애인보호작업장,50.0,31.0,197607.26669948673,550239.3488049451
서초구,다니엘의집1호,서울특별시 서초구 염곡안길 19201호,(장애인) 장애인공동생활가정,4.0,4.0,204684.81149889412,540456.2128999047
서초구,다니엘의집2호,서울특별시 서초구 염곡안길 19-0302호,(장애인) 장애인공동생활가정,4.0,4.0,204559.39075056772,540324.9796278132
서초구,다니엘주간보호센터,서울특별시 서초구 헌릉로468길 21-16(내곡동),(장애인) 장애인주간보호시설,12.0,12.0,208142.37070066461,540115.6482698756
서초구,다니엘단기보호센터,서울특별시 서초구 헌릉로468길 21-16(내곡동),(장애인) 장애인단기거주시설,10.0,11.0,208142.37070066461,540115.6482698756
송파구,사랑나눔주간보호시설,서울특별시 송파구 마천로51길 283층,(장애인) 장애인주간보호시설,10.0,10.0,211404.4756249517,545321.3351122099
서초구,다니엘직업재활원,서울특별시 서초구 헌릉로468길 21-16,(장애인) 장애인근로사업장,60.0,45.0,208142.37070066461,540115.6482698756
노원구,동천,서울특별시 노원구 노원로18길 41하계동,(장애인) 장애인근로사업장,50.0,45.0,206471.52777337804,560533.6658801083
노원구,노원교육복지재단(다모인),서울특별시 노원구 노원로 311중계제1공단 301호,(장애인) 장애인보호작업장,0.0,69.0,206228.05608396477,560584.2681030906
영등포구,영등포구 장애인사랑나눔의 집,서울특별시 영등포구 신길로 55,(장애인) (기타)장애인복지시설,300.0,300.0,191864.40638767992,544235.8262452409
중랑구,원광보호작업장,서울특별시 중랑구 신내로 56마동,(장애인) 장애인보호작업장,46.0,46.0,208478.48182106798,556073.310077563
중랑구,참좋은센터,서울특별시 중랑구 봉화산로56길 99-15(신내동),(장애인) 장애인보호작업장,30.0,30.0,208676.38584951844,556089.8524174852
송파구,신아보호작업장,서울특별시 송파구 양산로8길 17신아보호작업장,(장애인) 장애인보호작업장,60.0,65.0,212876.43737443085,543570.7701313504
강서구,늘푸른나무복지관,서울특별시 강서구 허준로5길 37  -0,(장애인) 장애인복지관,,500.0,186849.55029055418,552123.89872389
중랑구,조은세상,"서울특별시 중랑구 동일로140길 31-21(2층,3층)",(장애인) 장애인보호작업장,30.0,30.0,207130.81295564317,556119.73352559
노원구,서울시립북부장애인종합복지관,"서울특별시 노원구 덕릉로70가길 92(상계6,7동 771번지)(상계동)",(장애인) 장애인복지관,0.0,969.0,205906.97059190826,561694.919974473
동작구,서울시립남부장애인종합복지관,서울특별시 동작구 신대방2동395 보라매공원내,(장애인) 장애인복지관,0.0,808.0,193150.81820892176,543923.2829313437
금천구,금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17,(장애인) 장애인복지관,0.0,227.0,190828.41536570492,540510.6306337563
영등포구,한사랑마을,경기도 광주시 산수로554번길 59-14(영등포구),(장애인) 중증장애인거주시설,80.0,80.0,227811.4613364102,534729.2533048503
금천구,볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1 (시흥동),(장애인) 장애인주간보호시설,10.0,10.0,191597.51825591587,539208.870360285
동대문구,데일리스보호작업시설,서울특별시 동대문구 천호대로83길 14장안동,(장애인) 장애인보호작업장,24.0,21.0,205721.693457808,551477.8492488725
강북구,북서울장애인보호작업시설,서울특별시 강북구 한천로115길 20-0501동 2층,(장애인) 장애인보호작업장,32.0,32.0,203196.77653773697,559275.7835445942
강북구,소망의집,"서울특별시 강북구 인수봉로64길 30302호,303호(수유동)",(장애인) 장애인공동생활가정,4.0,4.0,201301.82672792676,559991.2074128848
동작구,삼성떡프린스,서울특별시 동작구 양녕로30길 19-4      ,(장애인) 장애인보호작업장,30.0,30.0,195218.82413478597,544407.7949282553
노원구,더홈,서울특별시 노원구 중계로 163-0(중계본동),(장애인) 장애유형별거주시설,40.0,36.0,207117.6880689067,561137.4152863285
은평구,서울특별시립평화로운집,서울특별시 은평구 갈현로 15길 27-1 (구산동 산61-8번지),(장애인) 중증장애인거주시설,150.0,145.0,191757.05790404556,556359.0472662349
강서구,교남어유지동산,"경기도 파주시 적성면 어못내길 94-44(적성면, 교남어유지동산) ",(장애인) 장애인근로사업장,60.0,34.0,199033.63827783221,599829.1780668452
강동구,주몽재활원,서울특별시 강동구 상암로 369-0(상일동),(장애인) 장애유형별거주시설,60.0,42.0,214460.54855805004,549643.8512172834
강남구,소망제이앤피,서울특별시 강남구 언주로167길 351층,(장애인) 장애인보호작업장,30.0,30.0,202718.47283154682,547424.7321376223
은평구,다움장애아동지원센터,서울특별시 은평구 갈현로11길 30은평기쁨의집,(장애인) 장애유형별거주시설,50.0,43.0,191810.2734762434,556267.0954798631
노원구,보담터,서울특별시 노원구 중계로 163-0보담터,(장애인) 장애인보호작업장,25.0,20.0,207117.6880689067,561137.4152863285
서대문구,시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23(남가좌동),(장애인) 장애인복지관,398.0,329.0,192388.7637203788,552357.1181669687
성북구,승가원행복마을,서울특별시 성북구 개운사길 76-1(안암동),(장애인) 중증장애인거주시설,55.0,53.0,202622.26817539698,554492.4708556177
강동구,라온클린패밀리,서울특별시 강동구 고덕로 295-45(고덕동),(장애인) 장애인보호작업장,0.0,26.0,214026.12202356063,550916.8098483314
용산구,용산구립장애인주간보호센터,서울특별시 용산구 한강대로 3313층,(장애인) 장애인주간보호시설,12.0,11.0,197607.26669948673,550239.3488049451
영등포구,송천한마음의집,경기도 남양주시 수동면 비룡로1742번길 95 ,(장애인) 중증장애인거주시설,60.0,50.0,225582.96424045757,574354.8588210914
