시설명,X,Y
송파구방이복지관,208651.96906081215,545105.8098333739
서울시각장애인복지관,208317.7424097984,545187.4109392836
서울시립발달장애인복지관,192899.81259540585,543756.2357893371
청음복지관,203745.06404180807,545548.855806653
마포장애인종합복지관,191966.14165143383,551578.632818147
다운복지관,207088.52492535577,557709.9623762729
원광장애인종합복지관,208478.481821068,556073.310077563
성프란치스꼬장애인종합복지관,190316.88151611897,542464.1983665512
성모자애복지관,210568.9483171037,541186.0524238386
대린원,205015.56204986497,564547.0587318793
동천의집,206471.52777337804,560533.6658801083
누림홈,162976.5894435133,561784.4489130047
삼성농아원,195218.824134786,544407.7949282553
다니엘복지원,208142.3707006646,540115.6482698756
늘편한집,207117.6880689067,561137.4152863285
임마누엘집,212971.7148107412,543567.1777736834
임마누엘보호작업시설,212971.7148107412,543567.1777736834
아름해든집,214026.12202356063,550916.8098483314
신아재활원,212876.43737443085,543570.7701313504
우성원,214026.12202356063,550916.8098483314
해맑은마음터,162965.77763872387,561825.4536849429
영락애니아의집,198345.79987620623,549886.8819411768
사랑의집,193273.20290316927,556629.8571936077
암사재활원,211594.44430682503,550964.235874441
문혜장애인요양원,232101.48753009844,621002.4870445477
참 좋은집,286329.7017723697,496536.340386667
은평재활원,191771.7800540248,556237.133218867
오틸리아 공동생활가정,202584.68679314863,545692.9974666025
생수의집,221836.0893470625,585214.2182485916
에스알씨(SRC)보듬터,225401.7769878727,535656.6494235635
새빛바울의집,198964.75507461204,543191.8007492564
바르티매오공동생활가정,193585.76921112207,556670.9973198352
은혜장애인요양원,232242.7127367269,621300.3221242815
동천하우스5,207104.4871578548,554504.7213623512
교남소망의집,186965.35398690053,549855.9878650167
베데스다의 집,207455.0312791864,560819.0267741141
베데스다장애인주간보호센터,206853.84844557883,559648.3971514218
아름다운,208291.65397685827,555487.7868198894
신망애의집,202154.2302436759,542177.452007397
마리스타보호작업장,286329.7017723697,496536.340386667
강북구립장애인보호작업장,203486.495136431,558866.8040982429
한사랑장애영아원,227811.4613364102,534729.2533048503
용산구립장애인보호작업장,197607.26669948676,550239.3488049451
다니엘의집1호,204684.8114988941,540456.2128999047
다니엘의집2호,204559.3907505677,540324.9796278132
다니엘주간보호센터,208142.3707006646,540115.6482698756
다니엘단기보호센터,208142.3707006646,540115.6482698756
사랑나눔주간보호시설,211404.4756249517,545321.3351122099
다니엘직업재활원,208142.3707006646,540115.6482698756
동천,206471.52777337804,560533.6658801083
노원교육복지재단(다모인),206228.0560839648,560584.2681030906
영등포구 장애인사랑나눔의 집,191864.40638767992,544235.8262452409
원광보호작업장,208478.481821068,556073.310077563
참좋은센터,208676.38584951844,556089.8524174852
신아보호작업장,212876.43737443085,543570.7701313504
늘푸른나무복지관,186849.55029055415,552123.89872389
조은세상,207130.8129556432,556119.73352559
서울시립북부장애인종합복지관,205906.97059190823,561694.919974473
서울시립남부장애인종합복지관,193150.81820892176,543923.2829313437
금천장애인종합복지관,190828.4153657049,540510.6306337563
한사랑마을,227811.4613364102,534729.2533048503
